"Key","en.json","id.json","ptg.json","tl.json","vi.json","zh.json"
"app_whgg","Maintenance bulletin","Buletin Pemeliharaan","Boletim de manutenção","Maintenance Bulletin","Bản tin Bảo trì","维护公告"
"app_zxkf","Online","Online","Online","Online","Trực tuyến","在线客服"
"navs_sy","Home","Beranda","Inici","Home","Trang chủ","首页"
"navs_hd","Promotion","Promosi","Promoção","Promosyon","Quảng bá","活动"
"navs_tgyx","Referral","Referral","Referência","Referral","Giới thiệu","推广"
"navs_xm","Rebate","Rabat","Rebate","Rebate","Hoàn tiền","洗码"
"navs_wd","Profile","Profil","Perfil","Profile","Hồ sơ","我的"
"loginBox_yzm","Verification code","Kode verifikasi","Código de verificação","Verification Code","Mã xác thực","验证码"
"activityDetails_hdsj","Activity time","Waktu aktivitas","Tempo de atividade","Oras ng iyong Activity","Thời gian hoạt động","活动时间"
"activityDetails_zt","Active status","Status aktif","Situação ativa","Status ng iyong Activity","Trạng thái hoạt động","活动状态"
"activityDetails_hdjxz","Activity in progress","Aktivitas sedang berlangsung","Actividade em curso","Kasalukuyang Activity","Hoạt động đang diễn ra","活动进行中"
"activityDetails_hdwks","Activity not started","Aktivitas belum dimulai","Actividade não iniciada","Activity na Hindi Nasimulan","Hoạt động chưa bắt đầu","活动未开始"
"activityDetails_hdyjs","Activity closed","Aktivitas ditutup","Actividades encerradas","Activity na Tapos na","Hoạt động đã đóng","活动已结束"
"activityDetails_hdgz","Award rules","Aturan penghargaan","Regras do prêmio","Mga tuntunin para makuha ang Award","Quy tắc trao thưởng","奖励规则"
"activityDetails_hdxz","Detailed rules of activities","Aturan kegiatan mendetail","Regras pormenorizadas das actividades","Detalyadong rules ng Activities","Quy tắc chi tiết của các hoạt động","活动细则"
"activityDetails_ljsq","Apply now","Terapkan sekarang","Aplique agora","Mag-Apply Na","Ghi danh ngay","立即申请"
"activityDetails_hdxgzl","Fill in relevant information of the activity","Isi informasi yang relevan dari aktivitas","Preencha as informações relevantes da atividade","Punan ng impormasyon tungkol sa Activity","Điền thông tin liên quan đến hoạt động","活动相关资料填写"
"activityDetails_qsr","Please enter...","Silakan masukkan...","Por favor, entre...","I-enter...","Vui lòng nhập...","请输入..."
"activityDetails_tj","Submit","Kirim","Submeter-me","Isumite","Gửi","提交"
"activityDetails_zwdl","Not logged in yet, please login first","Belum login, silakan login dulu","Não logado ainda, por favor Inscreva-se primeiro","Hindi pa naka-login, mag-log in muna","Chưa đăng nhập, vui lòng đăng nhập trước","暂未登录，请先登录"
"activityDetails_txwz","Please complete the information","Silakan lengkapi informasinya","Por favor preencha as informações","Ilagay ang kumpletong impormasyon","Vui lòng hoàn tất thông tin","请把资料填写完整"
"activityDetails_sqcg","Successful application","Penerapan berhasil","Aplicação bem sucedida","Matagumpay na Aplikasyon","Ghi danh thành công","申请成功"
"ChessListsIndex_zzjz","Loading","Memuat","A carregar","Naglo-loading","Đang tải","正在加载…"
"notice_gb","Close","Tutup","Fechar","Sarado","Đóng","关闭"
"activityEntry_qdlq","Check-in","Check-in","Entrada","Mag-sign in","Điểm danh","签到"
"activityEntry_yqd","Sign in","Login","Sinalização","Mag-sign in","Đăng nhập","已签到"
"activityEntry_qdcg","Sign in successfully!","Berhasil login!","Assine com sucesso!","Matagumpay na pag sign in!","Đăng nhập thành công!","签到成功!"
"activityEntry_htwpz","No sign-in list is configured in the background","Tidak ada daftar login yang dikonfigurasi di latar belakang","Nenhuma lista de login está configurada em segundo plano","Walang sign in list ang nasa background","Không có danh sách đăng nhập nào được cấu hình trong nền","后台未配置了签到列表"
"activityEntry_t","Day","Hari","Dia","Araw","Ngày","天"
"activityEntry_d","No.","Tidak.","Não.","Hindi.","Số","第"
"activityEntry_gxn","Congratulations! Claimed","Selamat! Diklaim","Parabéns! Cláusula","Kongrats! Nakuha mo na","Xin chúc mừng! Đã nhận","恭喜您！已领取"
"activityEntry_lj","Bonus","Bonus","Bônus","Bonus","Tiền thưởng","礼金"
"activityEntry_qiandao","Sign In","Login","Sinalização","Sign In","Đăng nhập","签到"
"gemaView_xdl","Not logged in yet, please login first","Belum login, silakan login dulu","Não logado ainda, por favor Inscreva-se primeiro","Hindi ka naka-login, mangyaring mag-log in muna","Chưa đăng nhập, vui lòng đăng nhập trước","暂未登录，请先登录"
"gemaView_yxwh","The game is under maintenance, please wait patiently!","Game dalam pemeliharaan, harap menunggu dengan sabar!","O jogo está em manutenção, por favor, espere pacientemente!","Kasalukuyang nasa maintenance ang laro, paki-usap na hintaying matapos ang maintenance","Trò chơi đang bảo trì, vui lòng kiên nhẫn chờ đợi!","该游戏正在维护中，请耐心等待!"
"userData_grzl","Personal data","Data pribadi","Dados pessoais","Personal na Impormasyon","Dữ liệu cá nhân","个人资料"
"userData_ck","Deposit","Deposit","Depósito","Deposit","Gửi tiền","存款"
"userData_lang","Language","Bahasa","Língua","Wika","Ngôn ngữ","语言切换"
"SharePage_qx","Cancel","Batalkan","Cancelar","I-kansela","Hủy","取消"
"SharePage_hd","All right","Baiklah","Está bem","All right","Được rồi","好的"
"performanceInquiry_yxtz","Valid bets","Taruhan valid","Apostas válidas","May bisang Taya","Khoản cược hợp lệ","有效投注"
"sharingTask_tj","Submit","Kirim","Submeter-me","Isumite","Gửi","提交"
"UserPage_zhye","Balance","Saldo","Balanço","Balanse","Số dư","账户余额"
"UserPage_ck","Deposit","Deposit","Depósito","Deposito","Gửi tiền","存款"
"UserPage_djxq","VIP","VIP","VIP","VIP","VIP","等级详情"
"washCode_gxn","Congratulations! The washout obtained","Selamat! Washout didapatkan","Parabéns! A lavagem obtida","Kongrats! Nakamit ang Kabuuang Washout","Xin chúc mừng! Đã được rửa sạch","恭喜你！本次洗码获得"
"washCode_zjzl","Good luck","Semoga beruntung","Boa sorte","Good luck","Chúc may mắn","请再接再厉"
"service_zkf","24/7 online support.","Dukungan online 24/7.","Apoio online 24/7.","24/7 na Online na Suporta.","Hỗ trợ trực tuyến 24/7.","24/7 在线支持"
"service_qadyh","Chat with professional online customer service to solve your problems","Silakan ngobrol dengan layanan pelanggan online profesional untuk menyelesaikan masalah Anda","Converse com atendimento ao cliente on-line profissional para resolver seus problemas.","Makipag-chat sa propesyonal na Online Customer Service upang masolusyunan ang iyong mga problema","Trò chuyện với dịch vụ khách hàng trực tuyến chuyên nghiệp để giải quyết vấn đề của bạn","与专业在线客服聊天，解决您的问题。"
"service_lx","Contact","Hubungi","Contacto","Makipag-ugnayan","Liên hệ","联系"
"serviceTabs_zxkf","Online","Online","Online","Online","Trực tuyến","在线客服"
"BindBankDialog_qr","Confirm","Konfirmasi","Confirmação","Kumpirmahin","Xác nhận","确认"
"DrawPop_srtxmm","Input withdrawal password","Masukkan kata sandi penarikan","Senha de retirada de entrada","Ilagay ang Password sa Pag-withdraw","Nhập mật khẩu rút tiền","请输入提现密码"
"BalanceRecords_zt","Status","Status","Estado","Estado","Trạng thái","状态"
"offlinebank_fzcg","Copy successfully","Penyalinan berhasil","Copiar com sucesso","Matagumpay na nakopya","Sao chép thành công","复制成功"
"BankSaving_xzqtfs","There is no payment method for the time being. Please select another payment method","Tidak ada metode pembayaran untuk saat ini. Silakan pilih metode pembayaran lain","Não há método de pagamento para o momento. Por favor, selecione outro método de pagamento","Walang paraan ng pagbabayad sa ngayon, pumili ng ibang opsyon.","Hiện tại không có phương thức thanh toán nào. Vui lòng chọn một phương thức thanh toán khác","暂无支付方式，请选择其他支付方式"
"BankSaving_zwcztd","There is no recharge channel for the time being.","Tidak ada kanal pengisian ulang untuk saat ini.","Não há canal de recarga por enquanto.","Walang recharge channel sa ngayon.","Hiện tại không có kênh tái nạp nào.","暂无充值渠道"
"BankSaving_zwcz","No recharge for the time being","Tidak ada pengisian ulang untuk saat ini","Sem recarga por enquanto","Walang recharge sa ngayon","Hiện tại không có khoản tái nạp nào","暂无充值"
"Bet_records_tzjl","Betting history","Riwayat taruhan","História das apostas","History ng Pagtaya","Lịch sử cược","投注记录"
"Bet_records_qb","All","Semua","Todos","Lahat","Tất","全部"
"DataList_ddh","Order No.","Order No.","Ordem não.","Numero ng Order","Lệnh Số","订单号"
"FundsDetail_jylx","Transaction Type","Tipe Transaksi","Tipo de transação","Uri ng Transaksyon","Loại Giao dịch","交易类型"
"DataList_jy","Transaction ","Transaksi ","transação","Transaksyon ","Giao dịch ","交易"
"DataList_lx","Type","Tipe","Tipos de","Uri","Loại","类型"
"DataList_zh","Conversion ","Konversi ","Conversão","Konbersyon ","Giao dịch ","转换"
"DataList_bz","Currency","Mata uang","Moeda","Pera","Tiền tệ","币种"
"DataList_bd","Change ","Ubah ","mudança","Pagbabago ","Thay đổi ","变动"
"DataList_je","Amount","Jumlah","Montante","Halaga","Số tiền","金额"
"DataList_qb","Wallet ","Dompet","carteira","Wallet ","Ví ","钱包"
"DataList_ye","Balance","Saldo","Balanço","Balanse","Số dư","余额"
"FliterBox_sj","Time","Waktu","Tempo","Oras","Thời gian","时间"
"levelDetails_djxq","VIP","VIP","VIP","VIP","VIP","等级详情"
"levelDetails_dqdj","Current membership rank","Peringkat keanggotaan saat ini","Classificação actual de membros","Kasalukuyang Membership Rank","Cấp thành viên hiện tại","当前会员等级"
"levelDetails_jjcj","Referral Bonus","Bonus Referral","Bônus de referência","Referral Bonus","Tiền thưởng Giới thiệu","晋级彩金"
"levelDetails_zlj","Weekly Bonus","Bonus Mingguan","Bônus semanal","Lingguhang Bonus","Tiền thưởng hàng tuần","周礼金"
"levelDetails_ylj","Monthly Bonus","Bonus Bulanan","Bônus mensal","Buwanang Bonus","Tiền thưởng Hàng tháng","月礼金"
"levelDetails_vipdj","Level","Level","Nível","Level","Cấp độ","VIP等级"
"levelDetails_lij","Referral Bonus","Bonus Referral","Bônus de referência","Referral Bonus","Tiền thưởng Giới thiệu","礼金"
"levelDetails_ylq","Received","Diterima","Recebido","Natanggap","Đã nhận được","已领取"
"levelDetails_klq","Available","Tersedia","Disponível","Available","Có sẵn","可领取"
"levelDetails_bklq","Not receivable","Tidak dapat diterima","Não disponível","Hindi maaaring matanggap","Không nhận được","不可领取"
"levelDetails_gxnlq","Congratulations! You have claimed successfully. ","Selamat! Anda telah berhasil mengklaim. ","Parabéns! Você alegou com sucesso.","Kongrats! Matagumpay mong natanggap","Xin chúc mừng! Bạn đã nhận thành công. ","恭喜你成功领取"
"PersonnalInfo_dh","Phone","Telepon","Telefone","Telepono","Điện thoại","电话"
"SafeCenter_aqzx","Security center","Pusat keamanan","Centro de segurança","Security Center","Trung tâm bảo mật","安全中心"
"SafeCenter_dlmm","Login password","Kata sandi login","Senha de login","Password ng Pag-login","Mật khẩu đăng nhập","登录密码"
"SafeCenter_tqmm","Withdrawal password","Kata sandi penarikan","Senha de retirada","Password ng Withdrawal","Mật khẩu rút tiền","提款密码"
"SafeCenter_tc","Log Out","Logout","sair","Mag-Log Out","Đăng Xuất","退出"
"SafeCenter_tcdl","Log Out","Logout","sair","Mag-Log Out","Đăng xuất","退出登录"
"SetPassword_qrmm","Confirm password","Konfirmasi kata sandi","Confirmar senha","Kumpirmahin ang Password","Xác nhận mật khẩu","确认密码"
"SetPassword_tqmmcdlw","The withdrawal password can only be 6 digits long","Kata sandi penarikan hanya dapat terdiri dari 6 digit","A senha de retirada só pode ser de 6 dígitos de comprimento","Ang Withdrawal Password ay dapat na 6 na digits lamang","Mật khẩu rút tiền chỉ có thể dài 6 chữ số","提款密码长度只能为6位"
"SetPassword_mmbyz","Passwords are inconsistent, please re-enter","Kata sandi tidak konsisten, silakan masukkan kembali","As senhas são inconsistentes, por favor re-enter","Hindi magkatugma ang mga password, ilagay ulit","Mật khẩu không nhất quán, vui lòng nhập lại","密码不一致，请重新输入"
"SetPassword_sztkmmcg","Setting the withdrawal password successfully!","Berhasil mengatur kata sandi penarikan!","Definir a senha de retirada com sucesso!","Matagumpay na na-set up ang Withdrawal Password!","Đặt mật khẩu rút tiền thành công!","设置提款密码成功！"
"SetPassword_mmcdxylw","Password length cannot be less than 6 bits","Panjang kata sandi tidak boleh kurang dari 6 bit","O comprimento da senha não pode ser inferior a 6 bits","Ang haba ng password ay hindi maaaring mas mababa sa 6 bits","Độ dài mật khẩu không được ít hơn 6 bit","密码长度不能小于6位"
"SetPassword_qcxdl","The login password was set successfully Please login again","Kata sandi login berhasil ditetapkan. Silakan login lagi","A senha de login foi definida com sucesso Faça login novamente","Matagumpay na nailagay ang log in password. Mangyaring mag-login muli","Mật khẩu đăng nhập đã được đặt thành công Vui lòng đăng nhập lại","设置登录密码成功,请重新登录"
"SiteMail_znxx","Message","Pesan","Mensagem","Mensahe","Tin nhắn","站内消息"
"SiteMail_queren","Confirm","Konfirmasi","Confirmação","Kumpirmahin","Xác nhận","确认"
"myPromotion_myklqfyjl","No commission rewards available","Tidak ada reward komisi yang tersedia","Sem recompensas de comissões disponíveis","Walang available na Commission Rewards","Không có sẵn phần thưởng hoa hồng nào","没有可领取的返佣奖励"
"myPromotion_lqcgl","Claimed successfully","Berhasil diklaim","Com sucesso","Matagumpay na Na-claim","Đã nhận thành công","领取成功"
"danwei_yi","100 million","100 juta","100 milhões","100 Milyon","100 triệu","亿"
"danwei_bwan","million","juta","milhões","Milyon","triệu","million"
"http_qtdfdl","Your account is logged in from somewhere else, you have been forced offline, if it is not your own operation, please change your password immediately.","Akun Anda login dari tempat lain, Anda terpaksa offline, jika itu bukan operasi Anda sendiri, harap segera ubah kata sandi Anda.","Sua conta está registrada em outro lugar, você foi forçado offline, se não é sua própria operação, por favor, altere sua senha imediatamente.","Ang iyong account ay naka-log in mula sa ibang lokasyon kaya ikaw ay na-log out. Kung hindi ikaw ito, palitan agad ang iyong password.","Tài khoản của bạn đã được đăng nhập từ một nơi nào khác, bạn đã bị buộc chuyển sang ngoại tuyến, nếu đây không phải là thao tác của bạn, vui lòng thay đổi mật khẩu của bạn ngay lập tức.","您的帐号在其它地方登录，您已被迫下线，如果不是您本人操作，请及时修改密码"
"http_dlsb","Your login information is invalid. Please login again.","Informasi login Anda tidak valid. Silakan login lagi.","Suas informações de login são inválidas. Faça login novamente.","Hindi valid ang iyong login. Mangyaring mag-login muli.","Thông tin đăng nhập của bạn không hợp lệ. Vui lòng đăng nhập lại.","登录信息失效,请重新登录"
"http_zhjy","Your account is temporarily disabled, please contact customer service","Akun Anda dinonaktifkan sementara, silakan hubungi layanan pelanggan","Sua conta está temporariamente desativada, entre em contato com o atendimento ao cliente","Pansamantalang naka-disable ang iyong account, makipag-ugnayan sa customer service.","Tài khoản của bạn tạm thời đã bị vô hiệu hóa, vui lòng liên hệ dịch vụ khách hàng","您的账号暂时禁用，请联系客服"
"http_qqljcw","Request path error!","Eror pada jalur permintaan!","Solicite erro de caminho!","Mali ang Request Path!","Lỗi đường dẫn yêu cầu!","请求路径错误！"
"http_fwqklxc","The server error!","Eror pada server!","O erro do servidor!","May Error sa Server!","Lỗi máy chủ!","服务器开了小差！"
"http_qjcwl","Please check your network!","Silakan periksa jaringan Anda!","Por favor, verifique sua rede!","I-check ang iyong koneksyon sa Internet!","Vui lòng kiểm tra mạng của bạn!","请检查您的网络！"
"banksaving_pwrite","Please enter ","Silakan masukkan ","Por favor, entre","Ilagay ","Vui lòng nhập ","请填写"
"banksaving_je"," amount"," jumlah","quantidade","Halaga"," số tiền","的金额"
"gemaView_whz","Under maintenance","Sedang dalam pemeliharaan","Under maintenance","Under maintenance","Đang bảo trì","维护中"
"HomePage_kf","Service","Layanan","Serviço","Serbisyo","Dịch vụ","客服"
"HomePage_qdzx","Check-in","Check-in","Entrada","Mag-sign in","Điểm danh","签到"
"HomePage_rwzx","Task","Tugas","Tarefa","Gawain","Nhiệm vụ","任务"
"HomePage_dj","E-sports","E-sports","E-sports","E-sports","Thể thao điện tử ","电竞"
"HomePage_qp","Chess and cards","Catur dan kartu","Chess e cartões","Chess and Cards","Cờ bạc và bài","棋牌"
"HomePage_by","fishing","memancing","pesca","Pangingisda","câu cá","捕鱼"
"HomePage_dz","Electronics","Elektronik","Eletrônica","Larong Elektroniko","Điện tử","电子"
"HomePage_zr","Real people","Orang sungguhan","Pessoas reais","Tunay na Tao","Người thật","真人"
"HomePage_ty","Sports","Olahraga","Esportes","Sports","Thể thao","体育"
"HomePage_cp","lottery","lotere","loteria","Lottery","xổ số","彩票"
"HomePage_rm","Hot","Panas","Quente","Hot","Hấp dẫn","热门"
"sign_qdshl","Check-in to get great rewards","Check-in untuk dapat reward besar","Check-in para obter grandes recompensas","Mag-sign in upang makakuha ng magagandang Rewards","Đăng nhập để nhận các phần thưởng lớn","签到送豪礼"
"sign_tips","Dear VIP players: As long as you meet the requirements of the daily activity, you could participate in the daily check-in activity. The longer the consecutive check-in days, the more bonus you could receive!","Yth. Pemain VIP: Selama Anda memenuhi persyaratan aktivitas harian, Anda dapat berpartisipasi dalam aktivitas check-in harian. Semakin lama hari check-in berturut-turut, semakin banyak bonus yang bisa Anda terima!","Caros jogadores VIP: Enquanto você atender aos requisitos da atividade diária, você pode participar da atividade diária de check-in. Quanto mais tempo os dias de check-in consecutivos, mais bônus você poderia receber!","Sa aming minamahal na VIP players: Hangga't natutugunan mo ang mga requirements ng pang-araw-araw na aktibidad, maaari kang lumahok sa pang-araw-araw na check-in activity. Habang mas matagal ang sunod-sunod na mga araw ng pag-check-in, mas maraming bonus ang iyong matatanggap!","Kính gửi người chơi VIP: Chỉ cần đáp ứng các yêu cầu của hoạt động hàng ngày, bạn có thể tham gia hoạt động điểm danh hàng ngày. Số ngày điểm danh liên tiếp càng dài, bạn càng có thể nhận được nhiều tiền thưởng!","尊敬的贵宾：只要每天达到活动条件就可以参与每日签到活动，连续签到天数越久，可领取的彩金越多噢！"
"sign_xj","cash","tunai","dinheiro","cash","tiền mặt","现金"
"activityDetails_qx","cancel","batalkan","cancelar","Kanselahin","hủy","取消"
"gemaView_ts","Remind","Mengingatkan","lembre-se","Paalala","Nhắc nhở","提示"
"UserPage_tx","Withdraw","Tarik","Retirar","Mag-withdraw","Rút","提现"
"UserPage_jyjl","Transaction History","Riwayat Transaksi","Histórico de Transações","Transaction History","Lịch sử Giao dịch","交易记录"
"FliterBox_qb","All","Semua","todo o mundo","Lahat","Tất cả","全部"
"FliterBox_pp","Platform","Platform","marca","Platform","Nền tảng","平台"
"FliterBox_zjst","Last 3 days","3 hari terakhir","Últimos 3 dias","Nakalipas na 3 Araw","3 ngày qua","最近三天"
"FliterBox_zjqt","Last 7 days","7 hari terakhir","Últimos 7 dias","Nakalipas na 7 Araw","7 ngày qua","最近七天"
"FliterBox_zjygy","Last 30 days","30 hari terakhir","Últimos 30 dias","Nakalipas na 30 Araw","30 ngày qua","近一个月"
"Wallet_qbgl","Wallet","Dompet","Carteira de carteira","Wallet","Ví","钱包管理"
"usdt_lx","Type","Tipe","tipo","Uri","Loại","类型"
"highlights","Highlights","Sorotan","Destaques","Mga Highlight","Điểm nổi bật","精彩瞬间"
"events","events","event","eventos","Kaganapan","sự kiện","事件"
"stake","Stake","Mempertaruhkan","Aposta","Stake","Đặt cược","金额"
"open","Open","Terbuka","Aberto","Buksan","Mở","进行中"
"settled","Settled","Terselesaikan","Resolvido","Naayos","Đã thanh toán","已结算"
"from","From","Dari","De","Mula","Từ","从"
"to","To","Ke","Para","Hanggang","Đến","到"
"single","Single","Tunggal","Simples","Single","Đơn","单关"
"delete","Delete","Hapus","Apagar","Tanggalin","Xóa","删除"
"timezone","Time zone","Zona waktu","Fuso Horário","Time Zone","Múi giờ","时区"
"Opened","Opened","Terbuka","Aberto","Nabuksan","Đã mở","已开始"
"Lost","Lost","Kalah","Perdido","Natalo","Thua","输"
"Won","Won","Menang","Ganhou","Nanalo","Thắng","赢"
"Draw","Draw","Seri","Empate","Draw","Hòa","平局"
"Canceled","Canceled","Dibatalkan","Cancelado","Kanselahin","Đã hủy","已取消"
"Declined","Declined","Ditolak","Recusado","Tinanggihan","Đã từ chối","已拒绝"
"HalfLost","HalfLost","Setengah Kalah","Metade Perdido","Kalahating Talo","ThuaMộtnửa","部分亏损"
"HalfWon","HalfWon","Setengah Menang","Meio Ganho","Kalahating Panalo","ThắngMộtnửa","部分盈利"
"Cashout","Cashout","Pencairan uang","Saque","Kunin ang Pera","Đổi lấy tiền mặt","已提现"
"khzc","Customer service support","Dukungan layanan pelanggan","Serviço de atendimento ao consumidor","Suporta sa Kustomer","Hỗ trợ dịch vụ khách hàng","客服支持"
